id,name,price,category,description,image
1,Butterfly Cardigan,4499,Clothing,Soft handmade cardigan,C:\Users\raoap\OneDrive\Desktop\pretrained_cnn\Crochet_images\butterfly cardigan.jpg
2,Tulip Bouquet,999,Flowers,Everlasting tulips,C:\Users\raoap\OneDrive\Desktop\pretrained_cnn\Crochet_images\open tulip.jpg
3,Tanjiro Plushie,1499,Plushies,Cute plushie,C:\Users\raoap\OneDrive\Desktop\pretrained_cnn\Crochet_images\Tanjiro plushie.jpg
4,Bow Keychain,149,Keychains,Cute bow keychain,C:\Users\raoap\OneDrive\Desktop\pretrained_cnn\Crochet_images\bow kc.jpg
5,Bunny Spec Holder,449,Accessories,Cute bunny spectacle holder,C:\Users\raoap\OneDrive\Desktop\pretrained_cnn\Crochet_images\bunny spec holder.jpg
6,Cherry Keychain,149,Keychains,Cherry keychain for your bags,C:\Users\raoap\OneDrive\Desktop\pretrained_cnn\Crochet_images\cherry kc.jpg
7,Duckie Sunflower,499,Accessories,Duck holding sunflower,C:\Users\raoap\OneDrive\Desktop\pretrained_cnn\Crochet_images\duck with sunflower.jpg
8,Flower Keychain,180,Keychains,Cute flower keychain,C:\Users\raoap\OneDrive\Desktop\pretrained_cnn\Crochet_images\flower kc.jpg
9,Lavender Bouquet,899,Flowers,Soft lavender crochet bouquet,C:\Users\raoap\OneDrive\Desktop\pretrained_cnn\Crochet_images\lavender.jpg
10,Lily Bag,1699,Bags,Stylish crochet lily bag,C:\Users\raoap\OneDrive\Desktop\pretrained_cnn\Crochet_images\lily bag.jpg
11,Lily Bouquet,1099,Flowers,Beautiful lily bouquet,C:\Users\raoap\OneDrive\Desktop\pretrained_cnn\Crochet_images\lily boquet.jpg
12,Lily Flower,399,Flowers,Single crochet lily stem,C:\Users\raoap\OneDrive\Desktop\pretrained_cnn\Crochet_images\lily.jpg
13,Lotus Flower,499,Flowers,Handmade lotus crochet flower,C:\Users\raoap\OneDrive\Desktop\pretrained_cnn\Crochet_images\lotus.jpg
14,Sea Bag,1899,Bags,Ocean inspired crochet tote bag,C:\Users\raoap\OneDrive\Desktop\pretrained_cnn\Crochet_images\sea bag.jpg
15,Sunflower Pot,1299,Home Decor,Crochet sunflower in pot,C:\Users\raoap\OneDrive\Desktop\pretrained_cnn\Crochet_images\sunflower pot.jpg
16,Sunflower Tote,1599,Bags,Cute sunflower tote bag,C:\Users\raoap\OneDrive\Desktop\pretrained_cnn\Crochet_images\sunflower tote.jpg
17,Sunflower Bouquet,1199,Flowers,Sunflower bouquet arrangement,C:\Users\raoap\OneDrive\Desktop\pretrained_cnn\Crochet_images\sunflower🌻.jpg
18,Tangled Lily ,1299,Flowers,Tangled inspired lily bouquet,C:\Users\raoap\OneDrive\Desktop\pretrained_cnn\Crochet_images\tangled lily.jpg
19,Classic Tulip,349,Flowers,Single tulip flower stem,C:\Users\raoap\OneDrive\Desktop\pretrained_cnn\Crochet_images\tulip.jpg
20,Van Gogh Sunflower,1499,Flowers,Van Gogh inspired sunflower bouquet,C:\Users\raoap\OneDrive\Desktop\pretrained_cnn\Crochet_images\van gogh sunflower.jpg
